date,nav,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,date_parsed,nav_float
06-09-2022,58.70720,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-06,58.7072
05-09-2022,58.82580,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-05,58.8258
02-09-2022,58.34720,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-02,58.3472
01-09-2022,58.11660,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-01,58.1166
30-08-2022,58.38730,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-30,58.3873
29-08-2022,57.02990,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-29,57.0299
26-08-2022,57.83500,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-26,57.835
25-08-2022,57.67110,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-25,57.6711
24-08-2022,57.87010,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-24,57.8701
23-08-2022,57.67260,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-23,57.6726
22-08-2022,57.30500,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-22,57.305
19-08-2022,58.11300,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-19,58.113
18-08-2022,58.86930,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-18,58.8693
17-08-2022,58.83830,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-17,58.8383
16-08-2022,58.45530,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-16,58.4553
12-08-2022,57.88350,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-12,57.8835
11-08-2022,57.75470,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-11,57.7547
10-08-2022,57.14100,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-10,57.141
08-08-2022,57.11910,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-08-08,57.1191
