date,nav,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,date_parsed,nav_float
10-06-2015,30.68970,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-06-10,30.6897
09-06-2015,30.29000,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-06-09,30.29
08-06-2015,30.42780,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-06-08,30.4278
05-06-2015,30.77980,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-06-05,30.7798
04-06-2015,30.81500,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-06-04,30.815
03-06-2015,30.75760,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-06-03,30.7576
02-06-2015,31.11660,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-06-02,31.1166
01-06-2015,31.65860,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-06-01,31.6586
29-05-2015,31.84160,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-29,31.8416
28-05-2015,31.36620,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-28,31.3662
27-05-2015,31.47930,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-27,31.4793
26-05-2015,31.71680,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-26,31.7168
25-05-2015,31.92210,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-25,31.9221
22-05-2015,32.09020,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-22,32.0902
21-05-2015,31.91790,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-21,31.9179
20-05-2015,31.86500,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-20,31.865
19-05-2015,31.69870,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-19,31.6987
18-05-2015,31.71150,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-18,31.7115
15-05-2015,31.47030,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-15,31.4703
14-05-2015,31.19690,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-14,31.1969
13-05-2015,31.12840,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-13,31.1284
12-05-2015,30.73200,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-12,30.732
11-05-2015,31.22580,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-11,31.2258
08-05-2015,30.70780,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-08,30.7078
07-05-2015,30.17060,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-07,30.1706
06-05-2015,30.49400,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-06,30.494
05-05-2015,31.32280,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-05,31.3228
04-05-2015,31.23590,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-05-04,31.2359
30-04-2015,30.89660,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-04-30,30.8966
29-04-2015,30.82900,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-04-29,30.829
28-04-2015,30.63720,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-04-28,30.6372
27-04-2015,30.38030,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-04-27,30.3803
24-04-2015,30.86480,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-04-24,30.8648
23-04-2015,31.47370,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2015-04-23,31.4737
